id,title,genres,director,cast,overview
1,Inception (Başlangıç),Aksiyon Bilim Kurgu Gerilim,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,"Rüya paylaşımı teknolojisi ile insanların zihnine girip sırları çalan bir hırsıza, bir CEO'nun zihnine fikir ekleme görevi verilir."
2,Interstellar (Yıldızlararası),Macera Dram Bilim Kurgu,Christopher Nolan,Matthew McConaughey Anne Hathaway Jessica Chastain,"Dünya yaşanmaz hale geldiğinde, eski bir NASA pilotu insanlık için yeni bir yaşanabilir gezegen bulmak üzere uzay yolculuğuna çıkar."
3,The Dark Knight (Kara Şövalye),Aksiyon Suç Dram Gerilim,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart,"Gotham sokaklarında kaos yaratan Joker ortaya çıktığında, Batman adalet için en büyük psikolojik sınavını verir."
4,The Matrix,Aksiyon Bilim Kurgu,Lana Wachowski Lilly Wachowski,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,"Bir bilgisayar korsanı, yaşadığı dünyanın yapay bir zeka tarafından kontrol edilen bir simülasyon olduğunu öğrenir ve isyana katılır."
5,Avatar,Aksiyon Macera Fantastik Bilim Kurgu,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver,"Pandora gezegenine gönderilen felçli bir deniz piyadesi, emirleri yerine getirmek ile evi gibi hissettiği halkı korumak arasında kalır."
6,Titanic,Dram Romantik,James Cameron,Leonardo DiCaprio Kate Winslet Billy Zane,"Lüks ve talihsiz Titanic gemisinde, zengin bir genç kadın ile fakir bir ressam arasında efsanevi bir aşk doğar."
7,Spider-Man (Örümcek Adam),Aksiyon Macera Bilim Kurgu,Sam Raimi,Tobey Maguire Willem Dafoe Kirsten Dunst,"Genetik olarak değiştirilmiş bir örümcek tarafından ısırılan Peter Parker, süper güçler kazanır ve şehri kötülüklerden korumaya başlar."
8,Spider-Man 2,Aksiyon Macera Bilim Kurgu,Sam Raimi,Tobey Maguire Alfred Molina Kirsten Dunst,"Peter Parker, Doktor Ahtapot'a karşı savaşırken bir yandan da sivil hayatı ile süper kahraman kimliği arasındaki dengeyi kurmaya çalışır."
9,The Avengers (Yenilmezler),Aksiyon Bilim Kurgu Macera,Joss Whedon,Robert Downey Jr. Chris Evans Scarlett Johansson,"Dünyanın en güçlü süper kahramanları, dünyayı istila etmeye çalışan uzaylı ordusunu durdurmak için bir araya gelir."
10,Iron Man (Demir Adam),Aksiyon Macera Bilim Kurgu,Jon Favreau,Robert Downey Jr. Gwyneth Paltrow Terrence Howard,"Milyarder mühendis Tony Stark, fidyecilerin elinden kurtulmak için yüksek teknolojili zırhlı bir giysi icat eder."
11,Harry Potter and the Philosopher's Stone,Macera Fantastik Aile,Chris Columbus,Daniel Radcliffe Emma Watson Rupert Grint,Yetim bir çocuk 11. yaş gününde büyücü olduğunu öğrenir ve Hogwarts Cadılık ve Büyücülük Okulu'na kabul edilir.
12,Harry Potter and the Chamber of Secrets,Macera Fantastik Gizem,Chris Columbus,Daniel Radcliffe Emma Watson Rupert Grint,"Harry Potter, Hogwarts'taki ikinci yılında okuldaki öğrencileri taşa çeviren gizemli Sırlar Odası'nın peşine düşer."
13,The Lord of the Rings: The Fellowship of the Ring,Aksiyon Macera Fantastik,Peter Jackson,Elijah Wood Ian McKellen Viggo Mortensen,"Genç bir Hobbit, dünyayı yok edebilecek güce sahip Tek Yüzük'ü yok etmek için zorlu bir yolculuğa çıkar."
14,The Lord of the Rings: The Return of the King,Aksiyon Macera Dram Fantastik,Peter Jackson,Elijah Wood Ian McKellen Viggo Mortensen,Orta Dünya'nın kaderi belirlenirken Sauron'un ordularına karşı son ve büyük bir savaş verilir.
15,Fight Club (Dövüş Kulübü),Dram Gerilim,David Fincher,Brad Pitt Edward Norton Helena Bonham Carter,Uykusuzluk çeken bir ofis çalışanı ile karizmatik bir sabun satıcısının kurduğu gizli dövüş kulübü beklenmedik bir harekete dönüşür.
16,Shutter Island (Zindan Adası),Gizem Gerilim Dram,Martin Scorsese,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,"Bir federal ajan, akıl hastalarının bulunduğu izole bir ada hastanesinden kaçan bir katilin peşine düşer."
17,Pulp Fiction (Ucuz Roman),Suç Dram,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson,"İki mafya tetikçisi, bir boksör ve bir gangsterin eşinin yollarının kesiştiği kara mizah dolu hikayeler."
18,The Wolf of Wall Street (Para Avcısı),Biyografi Komedi Suç,Martin Scorsese,Leonardo DiCaprio Jonah Hill Margot Robbie,"Borsada hızlı yoldan zengin olan Jordan Belfort'un lüks, para ve dolandırıcılıkla dolu yükselişi ve düşüşü."
19,Gladiator (Gladyatör),Aksiyon Macera Dram,Ridley Scott,Russell Crowe Joaquin Phoenix Connie Nielsen,"Ailesi katledilen ve köle yapılan Romalı general Maximus, intikam almak için arenada bir gladyatör olarak yükselir."
20,La La Land (Aşıklar Şehri),Komedi Dram Müzikal Romantik,Damien Chazelle,Ryan Gosling Emma Stone Rosemarie DeWitt,Los Angeles'ta kariyer yapmaya çalışan bir caz piyanisti ile oyuncu bir kadının tutkulu aşkı ve hayalleri arasındaki çatışma.
21,The Notebook (Not Defteri),Dram Romantik,Nick Cassavetes,Ryan Gosling Rachel McAdams James Garner,Sosyal sınıf farklılıkları yüzünden ayrılan ama birbirini asla unutamayan iki gencin yıllara yayılan aşk hikayesi.
